x,y,ID,STN_ID,UTC_DATE,TEMP,PRECIP_AMOUNT,WIND_SPEED,WIND_DIRECTION
-126.75335666666666,65.287525,2202810.2025.8.1.8,43004,2025-08-01T15:00:00,12.5,0,0,0
-125.56944444444444,64.90972222222223,2201701.2025.8.1.8,52798,2025-08-01T15:00:00,12.6,,8,35
-125.56944444444444,64.90972222222223,2201705.2025.8.1.8,52967,2025-08-01T15:00:00,12.6,0,8,35
-126.58694444444444,52.38861111111111,1060844.2025.8.1.8,54338,2025-08-01T16:00:00,18.9,0,0,0
-125.99671944444444,53.77188888888889,1085836.2025.8.1.8,43963,2025-08-01T16:00:00,17.4,0,14,29
-125.99289583333334,50.4535175,1022795.2025.8.1.8,29733,2025-08-01T16:00:00,11.9,0,20,29
-125.95866666666667,54.38316666666667,1091174.2025.8.1.8,574,2025-08-01T16:00:00,18.1,0,0,0
-126.54310916666667,49.38330944444444,1032731.2025.8.1.8,8040,2025-08-01T16:00:00,15.2,0,40,
-124.92683333333333,49.316583333333334,1036B06.2025.8.1.8,8045,2025-08-01T16:00:00,17.3,0,7,11
-125.27305555555556,49.95194444444444,1021267.2025.8.1.8,51317,2025-08-01T16:00:00,20.6,,0,0
-126.59583333333333,52.3875,1060845.2025.8.1.8,51419,2025-08-01T16:00:00,19.2,,4,4
-125.7725,49.08222222222222,1038204.2025.8.1.8,52198,2025-08-01T16:00:00,14.2,,8,31
-125.7725,49.08222222222222,1038210.2025.8.1.8,52960,2025-08-01T16:00:00,14.2,0,8,31
-126.59583333333333,52.3875,1060848.2025.8.1.8,52978,2025-08-01T16:00:00,19.2,0,4,4
-125.27305555555556,49.95194444444444,1021270.2025.8.1.8,52979,2025-08-01T16:00:00,20.6,,0,0
